,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount
2018-09-07,145.98,147.66,144.81,145.45,103.0435,15394651.0,0.0
2018-08-31,146.94,147.93,145.25,146.48,103.7732,15929583.0,0.0
2018-08-24,146.37,147.16,144.75,146.04,103.4615,12992907.0,0.0
2018-08-17,144.15,146.39,142.0,146.06,103.4757,17890077.0,0.0
2018-08-10,146.95,147.64,143.88,144.48,102.3563,17100909.0,1.57
2018-08-03,144.8,147.92,142.33,147.7,103.5149,24366161.0,0.0
2018-07-27,146.35,149.27,144.66,145.15,101.7277,19940363.0,0.0
2018-07-20,145.67,150.54,142.74,146.35,102.5688,36572622.0,0.0
2018-07-13,142.59,146.98,142.47,145.9,102.2534,17395351.0,0.0
2018-07-06,138.28,142.94,138.2,142.48,99.8565,12024030.0,0.0
2018-06-29,140.4,141.36,137.45,139.7,97.9081,25451478.0,0.0
2018-06-22,144.18,144.52,140.78,141.28,99.0155,21004666.0,0.0
2018-06-15,146.62,147.52,143.7,145.39,101.896,21311072.0,0.0
2018-06-08,142.3,146.7,142.18,146.14,102.4216,18618365.0,0.0
2018-06-01,142.53,143.1,140.21,141.95,99.485,20343954.0,0.0
2018-05-25,144.95,146.2,142.95,143.64,100.6695,16951460.0,0.0
2018-05-18,144.47,145.19,142.92,144.08,100.9778,16304020.0,0.0
2018-05-11,144.0,144.85,141.28,144.14,101.0199,20021856.0,1.57
2018-05-04,146.86,147.38,139.9,143.91,99.7604,23464605.0,0.0
2018-04-27,145.03,147.36,144.11,146.48,101.542,25028049.0,0.0
2018-04-20,157.99,162.0,144.51,144.9,100.4467,51127683.0,0.0
2018-04-13,151.8,159.22,151.74,156.71,108.6336,21372171.0,0.0
2018-04-06,153.34,154.92,147.45,150.57,104.3772,20949699.0,0.0
2018-03-29,151.21,154.87,150.28,153.43,106.3598,14934365.0,0.0
2018-03-23,159.71,159.89,148.54,148.89,103.2126,21959274.0,0.0
2018-03-16,159.64,162.11,157.74,160.26,111.0945,25076217.0,0.0
2018-03-09,154.12,159.58,153.75,159.31,110.4359,22842811.0,0.0
2018-03-02,155.81,159.78,151.88,154.49,107.0946,18831762.0,0.0
2018-02-23,155.79,156.79,152.79,155.52,107.8086,14987102.0,0.0
2018-02-16,150.9,157.79,149.64,156.18,108.2662,25701914.0,0.0
2018-02-09,157.89,158.5,144.4,149.51,103.6424,38856237.0,1.5
2018-02-02,167.45,168.39,158.87,159.03,109.1327,21842492.0,0.0
2018-01-26,161.51,168.72,161.11,167.34,114.8353,28170112.0,0.0
2018-01-19,165.1,171.13,161.3,162.37,111.4247,51246304.0,0.0
2018-01-12,162.66,164.94,161.7,163.14,111.9531,22376145.0,0.0
2018-01-05,154.5,162.9,153.54,162.49,111.5071,26160206.0,0.0
2017-12-29,152.51,154.72,152.5,153.42,105.2829,10573732.0,0.0
2017-12-22,153.41,154.18,151.49,152.5,104.6515,20045931.0,0.0
2017-12-15,154.97,157.85,152.03,152.5,104.6515,31101402.0,0.0
2017-12-08,155.67,156.8,153.26,154.81,106.2368,20236835.0,0.0
2017-12-01,152.06,155.02,151.62,154.76,106.2024,24386604.0,0.0
2017-11-24,150.64,152.45,149.9,151.84,104.1986,13728716.0,0.0
2017-11-17,148.88,150.15,146.211,148.97,102.2291,23731918.0,0.0
2017-11-10,151.77,151.82,149.14,149.16,102.3595,21891991.0,1.5
2017-11-03,153.76,154.93,151.49,151.58,102.9923,19467703.0,0.0
2017-10-27,162.05,162.51,152.911,153.68,104.4192,28529638.0,0.0
2017-10-20,147.22,162.48,146.18,162.07,110.1199,56148944.0,0.0
2017-10-13,146.5,148.95,146.35,147.1,99.9484,16128636.0,0.0
2017-10-06,145.35,147.54,145.21,146.48,99.5271,12252293.0,0.0
2017-09-29,145.12,147.42,144.21,145.08,98.5759,18131168.0,0.0
2017-09-22,144.81,145.8911,144.22,145.13,98.6098,16890140.0,0.0
2017-09-15,143.54,146.38,143.01,144.82,98.3992,24882951.0,0.0
2017-09-08,143.5,144.64,141.64,142.45,96.7889,13803467.0,0.0
2017-09-01,144.11,144.56,141.9,144.08,97.8964,17765494.0,0.0
2017-08-25,139.59,144.19,139.13,143.74,97.6654,15927109.0,0.0
2017-08-18,142.0,143.34,139.58,139.7,94.9204,18585485.0,0.0
2017-08-11,145.0,145.09,141.19,141.84,96.3744,18161288.0,1.5
2017-08-04,144.38,145.67,144.17,145.16,97.6,16503121.0,0.0
2017-07-28,147.0,147.49,143.64,144.29,97.0151,21206630.0,0.0
2017-07-21,153.59,154.29,146.51,147.08,98.891,39223438.0,0.0
2017-07-14,152.91,154.615,152.05,154.24,103.7051,15015697.0,0.0
2017-07-07,153.58,156.025,152.14,152.94,102.831,11462576.0,0.0
2017-06-30,154.71,155.75,153.14,153.83,103.4294,13465670.0,0.0
2017-06-23,155.51,155.86,153.39,154.11,103.6177,18294998.0,0.0
2017-06-16,154.19,157.2,152.94,155.38,104.4716,23761609.0,0.0
2017-06-09,151.82,154.265,150.8,154.1,103.6109,20653101.0,0.0
2017-06-02,151.95,153.2,151.59,152.05,102.2326,13583558.0,0.0
2017-05-26,152.1,153.73,151.23,152.49,102.5284,14563625.0,0.0
2017-05-19,150.62,154.14,150.11,151.98,102.1855,23606431.0,0.0
2017-05-12,152.8,153.47,149.79,150.37,101.103,28432713.0,1.5
2017-05-05,160.05,160.42,153.0,155.05,103.2377,28746997.0,0.0
2017-04-28,161.29,162.04,159.63,160.29,106.7267,22585454.0,0.0
2017-04-21,169.75,171.69,159.6,160.38,106.7866,41444548.0,0.0
2017-04-13,172.53,172.56,168.98,169.53,112.879,15162492.0,0.0
2017-04-07,173.82,176.33,171.28,172.14,114.6169,20657952.0,0.0
2017-03-31,172.69,175.0,172.0937,174.14,115.9485,15949938.0,0.0
2017-03-24,175.65,176.23,172.8,173.83,115.7421,16816026.0,0.0
2017-03-17,177.85,179.0,174.75,175.65,116.9539,20678038.0,0.0
2017-03-10,179.72,181.29,175.88,177.83,118.4055,18283618.0,0.0
2017-03-03,181.19,182.55,179.28,180.05,119.8836,14713309.0,0.0
2017-02-24,180.6,182.5,179.12,181.35,120.7492,13082284.0,0.0
2017-02-17,179.24,182.79,178.35,180.67,120.2964,15587334.0,0.0
2017-02-10,175.31,178.8701,174.38,178.68,118.9714,15458288.0,1.4
2017-02-03,176.98,177.07,172.89,175.82,116.1442,16952754.0,0.0
2017-01-27,170.08,179.25,170.01,177.3,117.1218,24898161.0,0.0
2017-01-20,166.69,170.64,165.8,170.55,112.6629,26891514.0,0.0
2017-01-13,169.47,169.8,165.34,167.34,110.5424,16710843.0,0.0
2017-01-06,167.0,169.92,166.01,169.53,111.9891,11943248.0,0.0
2016-12-30,166.98,167.98,165.5,165.99,109.6506,7770697.0,0.0
2016-12-23,166.83,168.25,165.25,166.71,110.1262,13209502.0,0.0
2016-12-16,166.72,169.952,165.07,166.73,110.1394,23953742.0,0.0
2016-12-09,160.85,166.72,158.93,166.52,110.0007,17154330.0,0.0
2016-12-02,163.2,164.66,158.3,160.02,105.7069,19370850.0,0.0
2016-11-25,160.69,163.19,160.3697,163.14,107.7679,11269212.0,0.0
2016-11-18,161.25,161.86,157.55,160.39,105.9513,16168917.0,0.0
2016-11-11,153.99,161.34,151.0,161.27,106.5326,25292112.0,1.4
2016-11-04,152.76,154.33,151.67,152.43,99.7927,15168515.0,0.0
2016-10-28,150.4,154.44,149.83,152.61,99.9105,16009359.0,0.0
2016-10-21,154.45,155.89,147.79,149.63,97.9596,31731091.0,0.0
2016-10-14,156.71,158.49,152.27,154.45,101.1151,15614452.0,0.0
2016-10-07,158.06,158.53,154.86,155.67,101.9139,11417766.0,0.0
2016-09-30,154.46,165.0,153.46,158.85,103.9957,15801644.0,0.0
